単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/3,6:30,18680,1314,6274,1779,100,974,1364,0,484,1956,0,111,0,-1042,2,5069,294,18679
2026/5/3,7:00,19160,1314,6871,1654,100,952,1371,0,488,2734,0,103,0,-1599,1,4882,288,19159
2026/5/3,7:30,19577,1313,6143,1654,91,934,1346,0,492,3553,0,96,0,-1792,2,5475,268,19575
2026/5/3,8:00,19915,1313,5857,1642,86,921,1342,0,467,4385,15,84,0,-2163,0,5720,262,19916
2026/5/3,8:30,20466,1312,5817,1640,86,889,1339,0,466,5155,16,95,0,-2182,0,5593,256,20466
2026/5/3,9:00,21660,1314,6524,1639,85,904,1307,0,465,5724,17,95,0,-2230,0,5598,235,21660
2026/5/3,9:30,21734,1314,6274,1638,85,913,1277,0,465,5316,19,97,0,-2144,0,6266,232,21733
2026/5/3,10:00,21553,1314,5887,1722,85,952,1275,0,464,5455,19,104,0,-2455,0,6521,229,21553
2026/5/3,10:30,21470,1315,5974,1763,120,972,1265,0,465,6114,21,114,0,-3356,4,6490,230,21470
2026/5/3,11:00,21442,1314,6139,1825,86,918,1268,0,464,6770,22,115,0,-3749,0,6068,224,21442
2026/5/3,11:30,21268,1314,5335,1891,86,907,1262,0,461,7736,20,117,0,-4085,0,6022,223,21269
2026/5/3,12:00,21308,1313,5168,2013,85,907,1257,0,458,8970,21,142,0,-4441,1,5204,229,21306
2026/5/3,12:30,21538,1313,5148,1951,85,878,1258,0,458,10363,21,139,0,-5467,1,5184,225,21536
2026/5/3,13:00,22622,1313,5456,1885,85,905,1254,0,458,11089,21,138,0,-5488,1,5309,218,22623
2026/5/3,13:30,22474,1313,6622,1893,86,907,1291,0,459,9964,20,158,0,-4300,1,3863,218,22475
2026/5/3,14:00,22075,1313,6642,1999,85,971,1317,0,458,8761,19,169,0,-3342,0,3483,217,22073
2026/5/3,14:30,22802,1314,6827,2110,85,984,1317,0,460,8087,18,163,0,-2223,0,3458,220,22802
2026/5/3,15:00,23077,1315,6837,2321,85,941,1325,0,463,6285,14,173,0,-1480,1,4599,212,23077
2026/5/3,15:30,22814,1315,6553,2494,85,938,1327,0,464,4330,10,162,0,212,0,4717,217,22814
2026/5/3,16:00,23200,1315,7177,2692,90,967,1371,0,492,2821,0,177,0,1119,7,4724,247,23199
2026/5/3,16:30,23435,1314,8193,2816,101,958,1380,0,493,1712,0,204,0,1797,9,4217,241,23435
2026/5/3,17:00,23860,1315,8574,2815,101,941,1565,0,492,856,0,198,0,2511,8,4241,244,23861
2026/5/3,17:30,24438,1315,9120,2813,101,917,1591,0,491,323,0,194,0,3041,27,4260,246,24439
2026/5/3,18:00,24957,1314,9402,2817,101,930,1594,0,493,35,0,224,0,3403,34,4375,236,24958
2026/5/3,18:30,25435,1314,9464,2813,101,914,1601,0,493,0,0,276,0,3718,29,4451,262,25436
2026/5/3,19:00,25255,1315,9550,2814,101,913,1627,0,495,0,0,302,0,3533,27,4328,249,25254
2026/5/3,19:30,24938,1315,9526,2816,101,860,1642,0,495,0,0,294,0,3422,25,4182,260,24938
2026/5/3,20:00,24559,1315,9444,2813,101,884,1554,0,497,0,0,317,0,3334,28,4027,245,24559
